,background,1,2,3,4
guys,0.003988844,5.13E-08,6.38E-08,0.001206977,1.52E-07
{s028},0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
ho's,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
salt.,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
bye,0.002147853,0.000513368,6.38E-08,6.03E-08,1.52E-07
tutor,0.000920526,5.13E-08,6.38E-08,6.03E-08,1.52E-07
{s053},0.000613694,5.13E-08,6.38E-08,6.03E-08,1.52E-07
its,0.002761517,0.001540002,6.38E-08,0.00844848,1.52E-07
clear,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
well.,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
even,0.000920526,0.000513368,6.38E-08,6.03E-08,1.52E-07
gona,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
ooh.,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
dis,0.000613694,5.13E-08,6.38E-08,6.03E-08,1.52E-07
thing,0.00153419,0.001026685,6.38E-08,6.03E-08,1.52E-07
hear,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
{s057},0.001227358,5.13E-08,6.38E-08,6.03E-08,1.52E-07
{s060}!!!:,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
